Item Export																			
																			
																			
Run by																			
Name: Luciano Castagna																			
Email: lcastagna@topcon.com																			
Workspace: Topcon Positioning Systems Production																			
"Date: Oct 25, 2022"																			
																			
"Run Description: Item Number: 1061108-01, Item Name: PCBA, MFS, Revision: 1"																			
																			
TPA Code	Description	Designator	Quantity	Notes	Manufacturer P/N_1	Manufacturer_1	Manufacturer P/N Desc_1	Manufacturer P/N_2	Manufacturer_2	Manufacturer P/N Desc_2	Manufacturer P/N_3	Manufacturer_3	Manufacturer P/N Desc_3	Manufacturer P/N_4	Manufacturer_4	Manufacturer P/N Desc_4	Manufacturer P/N_5	Manufacturer_5	Manufacturer P/N Desc_5
1061108-01	"PCBA, MFS"																		
1000048-01	"RES, TF, 5.49K OHM, 1/10W, 1%, 0402"	"R21, R85"	2		RMC1/16SK5491FTH	"KAMAYA ELECTRIC CO.,LTD."	"RES, TF, 5.49K OHM, 1/10W, 1%, 0402"	RK73H1ETTP5491F	"KOA SPEER ELECTRONICS, INC"	"RES, TF, 5.49K OHM, 1/10W, 1%, 0402"	ERJ-2RKF5491X	PANASONIC CORPORATION	"RES, TF, 5.49K OHM, 1/10W, 1%, 0402"						
1000051-01	"RES,TF,91K,1/16W,1%,0402"	R48	1		ERJ-2RKF9102X	PANASONIC CORPORATION													
1000276-01	CAP 1nF 50V 10% X7R 0402	"C61, C62, C63, C64"	4		CC0402KRX7R9BB102	YAGEO CORPORATION	CAP 1nF 50V 10% X7R 0402												
1000852-01	"RES, TF, 220 OHM, 1/16W, 1%, 0402"	"R14, R38, R55"	3		CRCW0402220RFKED	VISHAY INC.	"RES, TF, 220 OHM, 1/16W, 1%, 0402"	AC0402FR-07220RL	YAGEO CORPORATION	"RES, TF, 220 OHM, 1/16W, 1%, 0402"									
1000912-01	"Diode, Fast Switching, SMT, SOD-323"	"D1, D3, D4, D5, D6, D17"	6		1N4148WS-7-F	DIODES INCORPORATED	"DIODE, Fast Switching, SMT, SOD-323"												
1000927-01	"RES,TF, 105K ohms, 1%, 0.063W, 0402"	R40	1		RK73H1ETTP1053F	"KOA SPEER ELECTRONICS, INC"	"RES,TF, 105K ohms, 1%, 0.063W, 0402"	NRC04F1053TRF	NIC COMPONENT CORP.	"RES,TF, 105K ohms, 1%, 0.063W, 0402"									
1001116-01	"IC, 110uA HI PRECISION OP-AMP TDFN PKG"	U15	1		MCP6072T-E/MNY	"MICROCHIP TECHNOLOGY, INC."	"AMP,150uV Vos,1.5uV/C,110uA H-Prcsn D-Op"												
1001178-01	CAP 10nf 5% 16V X7R 0402	"C59, C65, C80"	3		0402YC103JAT2A	AVX CORPORATION	CAP 10nf 5% 16V X7R 0402												
1001180-01	"IC, OPAMP INSTR RRO 1MHZ 8SON"	U11	1		INA826AIDRGR	TEXAS INSTRUMENTS	"IC, OPAMP INSTR RRO 1MHZ 8SON"												
1003444-01	CAP 47UF 10V 20% X5R 0805	"C11, C12, C13, C22, C25"	5		GRM21BR61A476ME15L	MURATA ELECTRONICS NORTH AMERICA	CAP 47UF 10V 20% X5R 0805	C2012X5R1A476M125AC	TDK CORPORATION	CAP 47UF 10V 20% X5R 0805									
1003845-01	CAP CER 220PF 50V 5% NPO 0402	"C18, C21, C81, C82"	4		CC0402JRNPO9BN221	YAGEO CORPORATION	CAP CER 220PF 50V 5% NPO 0402												
1003851-01	INDUCTOR MULTILAYER 10UH 0805	L8	1		MLZ2012M100W	TDK CORPORATION	INDUCTOR MULTILAYER 10UH 0805												
1003855-01	RES 4.7K OHM 1/16W 1% 0402	R59	1		ERJ-2RKF4701X	PANASONIC CORPORATION	RES 4.7K OHM 1/16W 1% 0402	RC0402FR-074K7L	YAGEO CORPORATION	RES 4.7K OHM 1/16W 1% 0402									
1004067-01	IC TXRX RS-232 3.3V 15KV 16QSOP	U14	1		ADM3101EARQZ	ANALOG DEVICES INC	IC TXRX RS-232 3.3V 15KV 16QSOP												
