Bipolar Electronics				27/07/2022					
Filename:	micropicsmt4v0 Bill of Material 27-7-2022 Manuf 				Project MICROPICSMT4V0	Or Equiv			
Item	Designator	Load	Value	Comment	Description		Footprint	LibRef	Quantity
1	C1	Y	100nf	1206B104K500CT	"1206B104K500CT,SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 1206 [3216 Metric], ± 10%, X7R"	Y	C3216-1206	Cap1206	1
2	C2	Y	4.7nf	C1206C472J5RACTU	"SMD Multilayer Ceramic Capacitor, 4700 pF, 50 V, 1206 [3216 Metric], ± 5%, X7R, C Series KEMET"	Y	C3216-1206	Cap1206	1
3	C3	Y	4.7nf	C1206C472J5RACTU	"SMD Multilayer Ceramic Capacitor, 4700 pF, 50 V, 1206 [3216 Metric], ± 5%, X7R, C Series KEMET"	Y	C3216-1206	Cap1206	1
4	C4	Y	100nf	1206B104K500CT	"1206B104K500CT,SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 1206 [3216 Metric], ± 10%, X7R"	Y	C3216-1206	Cap1206	1
5	C6	Y	10nf	CC1206KRX7R9BB103	"CC1206KRX7R9BB103  SMD Multilayer Ceramic Capacitor, 10000 pF, 50 V, 1206 [3216 Metric], ± 10%, X7R, CC"	Y	C3216-1206	Cap1206	1
6	C7	Y	100nf	1206B104K500CT	"1206B104K500CT,SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 1206 [3216 Metric], ± 10%, X7R"	Y	C3216-1206	Cap1206	1
7	C9	Y	100nf	1206B104K500CT	"1206B104K500CT,SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 1206 [3216 Metric], ± 10%, X7R"	Y	C3216-1206	Cap1206	1
8	D1	Y		SS1H10-E3/5AT	"SS1H10-E3/5AT Schottky Rectifier, 100 V, 1 A, Single, DO-214AC (SMA), 2 Pins, 770 mV"	Y	diode214ac	D Schottky	1
9	D2	Y		1SS355TE-17	"1SS355TE-17 Small Signal Diode, High Speed Switching, 90 V, 100 mA, 1.2 V, 4 ns, 225 mA"	Y	UMD2	Diode	1
10	D3	Y		1SS355TE-17	"1SS355TE-17 Small Signal Diode, High Speed Switching, 90 V, 100 mA, 1.2 V, 4 ns, 225 mA"	Y	UMD2	Diode	1
